ID,lat,lon,elevation
USS0009J05S,40.61,-109.89,9553
USS0019A13S,48.36,-119.08,5010
USS0016A04S,48.06,-116.23,5260
USS0013B24S,47.68,-113.96,6780
USS0017D06S,45.27,-117.69,5760
USS0023B06S,47.76,-123.03,3960
USS0012B12S,47.92,-112.82,6400
USS0015D06S,45.7,-115.23,6320
USS0021D08S,45.32,-121.72,5370
USS0019K07S,39.32,-119.89,8801
USS0017D18S,45.27,-117.17,7910
USS0016G07S,42.6,-116.56,5730
USS0021D35S,45.25,-121.74,4070
USS0012D11S,45.41,-112.96,8300
USS0013C31S,46.87,-113.28,6250
USS0006K06S,39.3,-106.61,8700
USS0021F10S,43.51,-121.98,4910
USS0009F21S,43.11,-109.95,8340
USS0014D02S,45.73,-114.48,5650
USS0005J42S,40.04,-105.54,9910
USS0013A25S,48.16,-113.95,6040
USS0005N16S,36.99,-105.26,10600
USS0022D02S,45.55,-122,3060
USS0013B07S,47.27,-113.76,6330
USS0006H20S,41.33,-106.38,10130
USS0007K01S,39.08,-107.14,9200
USS0010D07S,45.01,-110.01,7350
USS0020E02S,44.43,-120.33,5430
USS0021B55S,47.37,-121.44,4030
USS0006H10S,41.15,-106.97,10000
USS0007K14S,39.09,-107.63,9840
USS0008F01S,43.66,-109.01,8975
USS0012G18S,42.26,-112.13,6740
USS0021C35S,46.78,-121.75,5130
USS0006L02S,38.82,-106.59,9600
USS0020A12S,48.44,-120.92,4600
USS0007K06S,39.05,-107.87,9960
USS0009E07S,44.73,-109.91,9400
USS0011J52S,40.76,-111.63,7585
USS0011K52S,39.93,-111.63,8044
USS0021D14S,45.04,-121.93,3420
USS0005J04S,40.4,-105.85,9030
USS0010F23S,43.52,-110.91,8200
USS0011C02S,46.58,-111.27,6650
USS0011K39S,39.01,-111.58,9020
USS0021C33S,46.62,-121.39,5800
USS0013A26S,48.3,-113.33,5930
USS0012L15S,38.88,-112.25,8734
USS0011F02S,43.57,-111.21,6720
USS0010D24S,45.42,-110.09,8830
USS0019L06S,38.51,-119.63,7736
USS0015H14S,41.87,-115.25,8360
USS0020B24S,47.99,-120.57,3590
USS0010C03S,46.11,-110.47,6500
USS0006L03S,38.49,-106.34,10760
USS0021C14S,46.35,-121.51,4510
USS0007E06S,44.16,-107.13,9480
USS0015F06S,43.51,-115.57,4800
USS0011R10S,34.37,-111.01,7930
USS0020G06S,42.32,-120.83,5720
USS0017B04S,47.88,-117.09,4700
USS0006P01S,35.92,-106.39,9500
USS0006J09S,40.37,-106.74,9400
USS0022F05S,43.66,-122.21,2680
USS0020A09S,48.52,-120.74,4890
USS0021D04S,45.46,-121.7,4410
USS0007M33S,37.89,-107.71,11200
USS0011K28S,39.45,-111.27,8988
USS0005N11S,36.7,-105.34,9850
USS0006G02S,42.57,-106.09,8400
USS0007J05S,40.11,-107.29,10340
USS0006J12S,40.88,-106.05,9700
USS0022F43S,43.9,-122.03,4950
USS0010J18S,40.55,-110.69,7886
USS0018F01S,44.01,-118.84,5290
USS0012C11S,46.36,-112.26,8000
USS0012J06S,40.44,-112.24,8704
USS0020L02S,39,-120.13,7619
USS0010C08S,46.09,-110.43,8100
USS0023D01S,45.54,-123.37,3110
USS0013D22S,45.69,-113.97,7940
USS0019A02S,48.66,-119.84,4460
USS0022F04S,43.61,-122.12,4220
USS0010G08S,42.51,-110.91,7640
USS0006H23S,41.46,-106.28,10050
USS0007H03S,41.11,-107.17,8150
USS0021E05S,44.44,-121.95,3740
USS0021B51S,47.38,-121.06,4340
USS0014C04S,46.47,-114.63,6190
USS0017D08S,45,-117.17,5400
USS0007K11S,39.02,-107.05,10700
USS0016A10S,48.37,-116.64,6090
USS0016A13S,48.37,-116.64,6090
USS0008M08S,37.65,-108.01,9100
USS0015D01S,45.19,-115.97,6540
USS0011G30S,42.52,-111.96,7850
USS0011K09S,39.31,-111.43,9904
USS0023D02S,45.53,-123.3,2060
USS0006P10S,36,-106.83,8600
USS0022G33S,42.7,-122.14,5700
USS0015H03S,41.74,-115.47,7350
USS0015C04S,46.57,-115.74,4600
USS0022C10S,46.19,-122.25,3990
USS0011F11S,43.21,-111.69,6650
USS0007E23S,44.5,-107.43,9580
USS0016C01S,46.95,-116.34,3200
USS0011E39S,44.98,-111.95,7000
USS0010D16S,45.4,-110.96,8100
USS0008T01S,32.92,-108.15,8360
USS0021F12S,42.96,-121.18,5740
USS0008S08S,33.37,-108.71,9000
USS0018G01S,42.75,-118.69,6990
USS0013C03S,46.24,-113.77,7250
USS0011G05S,42.56,-111.3,7225
USS0007M30S,37.99,-107.2,11560
USS0011J53S,40.79,-111.12,7631
USS0010E12S,44.13,-110.67,6920
USS0010G13S,42.49,-110.53,8060
USS0019F01S,43.95,-119.54,6230
USS0014F11S,43.48,-114.83,5740
USS0011G01S,42.95,-111.36,6800
USS0019L07S,38.31,-119.6,8770
USS0006H19S,41.33,-106.5,8440
USS0005M13S,37.97,-105.54,10800
USS0016G01S,42.76,-116.9,6500
USS0008G03S,42.57,-108.84,9040
USS0021C20S,46.18,-121.93,3400
USS0022C12S,46.26,-122.18,3520
USS0019L39S,38.67,-119.82,6063
USS0010G20S,42.53,-110.66,9000
USS0007M11S,37.7,-107.78,10660
USS0010C06S,46.78,-110.62,8100
USS0016E05S,44.77,-116.25,6240
USS0014B05S,47.18,-114.33,6150
USS0020K30S,39.19,-120.26,8013
USS0009F27S,43.03,-109.17,8620
USS0014A12S,48.91,-114.86,6030
USS0021B10S,47.27,-121.34,3850
USS0019E07S,44.26,-119.02,5250
USS0010J20S,40.91,-110.5,10158
USS0021B01S,47.75,-121.09,3950
USS0014F02S,43.86,-114.21,7430
USS0005J12S,40.23,-105.92,8720
USS0020G09S,42.13,-120.84,5770
USS0011J08S,40.16,-111.21,8123
USS0007M34S,37.48,-107.63,11200
USS0007E12S,44.72,-107.4,8880
USS0020G02S,42.7,-120.8,7080
USS0022F14S,43.45,-122.14,5610
USS0006K14S,39.72,-106.16,9400
USS0015B09S,47.56,-115.82,5540
USS0021C13S,46.09,-121.76,4290
USS0013F09S,43.63,-113.97,7640
USS0010E06S,44.48,-110.16,8420
USS0010E20S,44.46,-110.14,7120
USS0020K27S,39.17,-120.15,6797
USS0021G03S,42.69,-121.43,5030
USS0015H09S,41.23,-116.03,6325
USS0017D07S,45.08,-117.55,5740
USS0011E24S,44.79,-111.71,8000
USS0011J56S,40.62,-111.53,9230
USS0021E13S,44.14,-121.64,5690
USS0010E07S,44.37,-110.58,7980
USS0020A07S,48.53,-120.99,4320
USS0007E39S,44.81,-107.41,6870
USS0009E03S,44.03,-109.18,7950
USS0011J21S,40.43,-111.62,8140
USS0018E09S,44.66,-118.43,5150
USS0010F09S,43.75,-110.06,9580
USS0011H36S,41.9,-111.63,8474
USS0017C05S,46.12,-117.85,5530
USS0006J29S,40.54,-106.68,10500
USS0008G07S,42.7,-108.9,8700
USS0007K13S,40,-107.24,9700
USS0010J52S,40.68,-110.95,9992
USS0005M08S,37.35,-105.23,10860
USS0015F05S,43.63,-115.44,7770
USS0010G15S,42.76,-110.59,8500
USS0020B25S,47.23,-120.29,5480
USS0009J16S,40.74,-109.67,9518
USS0020K13S,39.3,-120.18,6509
USS0014C13S,46.14,-114.45,5600
USS0014C12S,46.14,-114.51,6400
USS0010E17S,44.15,-110.22,9240
USS0005J08S,40.03,-105.58,10300
USS0007M16S,37.72,-107.26,9400
USS0006M03S,37.49,-106.84,10200
USS0020B07S,47.29,-120.37,4330
USS0006K39S,39.62,-106.38,10300
USS0007M31S,37.49,-107.51,10880
USS0012K01S,39.94,-112.41,7401
USS0014F04S,43.8,-114.85,8960
USS0019L13S,38.07,-119.23,9445
USS0012B13S,47.92,-112.79,5600
