39.56,-115.84,8017
39.05,-111.47,9228
41.97,-118.19,6260
41.99,-120.18,7360
44.79,-112.06,7800
41.3,-107.15,8880
43.6,-114.67,8420
44.57,-107.3,8880
38.21,-111.48,9799
41.66,-115.32,7285
41.41,-111.54,8302
40.53,-106.78,8400
48.06,-112.76,5750
43.13,-110.2,7930
39.31,-109.53,8302
38.55,-119.8,8661
38.85,-120.08,7653
44.87,-118.11,5510
37.79,-108.02,10000
46.84,-116.12,5690
40.85,-106.97,8700
43.01,-109.76,9400
48.43,-113.94,4350
45.56,-118.45,3800
42.36,-111.56,7390
44.65,-109.78,9200
38.93,-120.05,6242
40.97,-111.81,7902
38.77,-111.68,9623
41.82,-116.1,7031
42.71,-118.63,7660
47.54,-121.09,3430
42.38,-122.35,4660
45.06,-109.94,9100
40.72,-110.47,10943
48.8,-113.86,6300
42.44,-122.23,5970
42.05,-111.6,8140
39.38,-106.2,11400
33.74,-108.95,8000
46.44,-112.19,6480
35.07,-111.84,7200
43.88,-114.67,7470
43.87,-114.71,8780
36.19,-105.56,9800
43.61,-113.93,6560
42.41,-111.17,6930
44.76,-118.31,5410
38.8,-111.68,7944
43.95,-115.27,5690
43.34,-110.43,6770
41.67,-117.57,8503
44.13,-110.83,7265
48.91,-114.77,4300
43.47,-107.24,8550
46.55,-121.17,5920
40.38,-115.53,8185
45.62,-121.7,3310
39.65,-105.87,11100
43.39,-110.13,8750
47.28,-120.49,5390
38.85,-119.94,7742
42.15,-110.68,7840
48.31,-114.84,5035
33.65,-109.31,9020
44.26,-106.98,8360
40.74,-110.62,10885
37.49,-112.58,7792
48.72,-120.66,6490
48.97,-115.95,6450
40.8,-110.88,9130
38.92,-119.92,8534
34.31,-110.75,7640
46.48,-115.63,5810
40.95,-110.48,9500
40.91,-109.96,9122
45.7,-118.11,4920
44.02,-113.47,8000
42.87,-109.09,10100
44.42,-121.86,4790
40.94,-115.1,8163
40.92,-110.19,9168
43.67,-122.57,4930
46.98,-115.03,6050
39.36,-106.06,11400
36.72,-106.26,10000
41.31,-111.45,8199
42.32,-113.62,7980
47.53,-115.78,4250
43.71,-114.16,7620
37.93,-107.68,9800
39.45,-120.29,6980
39.49,-120.28,6436
39.43,-120.31,8338
39.08,-106.61,10600
39.89,-110.75,9171
42.3,-110.68,9425
43.8,-121.95,5540
44.42,-111.39,6290
39.29,-106.55,10400
41.55,-116.01,7377
44.05,-115.44,7070
40.53,-105.89,10120
44.39,-122.17,3520
46.15,-122.15,3440
42.27,-110.81,8180
43.25,-110.02,7740
39.32,-106.61,9600
38.48,-112.39,9101
42.72,-123.2,4340
40.72,-109.54,8728
43.86,-109.32,9550
37.53,-113.05,9263
47.43,-113.78,4750
44.21,-118.64,5240
39.94,-105.59,9700
40.41,-105.82,10700
40.6,-110.43,10128
44.59,-111.82,7400
41.52,-117.63,6395
42.44,-105.86,8375
38.48,-109.27,9578
41.78,-116.03,6682
38.28,-119.61,9604
38.3,-119.55,7198
44.99,-113.44,8100
44.21,-110.67,7850
45.5,-110.97,6860
40.86,-110.8,9133
37.38,-106.55,11000
41.41,-111.83,6548
37.49,-113.85,6065
44.61,-122.23,4020
43.5,-109.75,9370
37.8,-107.92,10200
38.44,-119.37,9249
46.63,-114.58,5240
37.89,-108.2,9600
45.27,-111.43,8880
46.27,-121.96,3930
37.51,-113.4,7982
37.49,-112.51,7465
47.46,-115.71,5190
33.36,-107.83,8500
40.84,-111.71,8161
43.17,-110.14,8240
46.36,-121.08,5120
47.07,-115.96,6110
43.82,-114.26,7900
39.67,-105.9,11400
45.51,-111.92,7900
46.88,-113.32,4680
45.27,-118.85,4970
48.2,-120.92,5980
40.08,-106.67,8880
45.11,-119.5,5150
44.59,-111.12,7750
42.18,-114.29,6880
39.68,-111.32,8709
48.8,-113.67,4900
44.59,-121.97,2590
39.16,-119.9,7884
44.3,-109.24,8760
33.92,-109.46,9200
39.13,-107.29,9500
44.21,-121.87,4770
44.44,-113.32,9150
38.3,-112.44,8705
39.06,-108.06,10000
47.15,-116.27,4510
37.62,-107.03,11250
43.63,-107.18,7760
37.57,-112.84,9827
44.47,-114.49,8800
40.66,-111.64,8963
37.85,-107.73,10040
40.49,-112.61,8295
37.75,-107.69,10500
38.67,-119.61,8306
41.47,-111.5,8932
45.22,-110.24,8850
44.41,-113.4,7440
43.93,-115.67,6100
45.67,-113.95,6200
44.84,-114.27,7600
34.94,-111.52,7500
46.91,-121.48,5410
40.61,-109.89,9553
48.36,-119.08,5010
48.06,-116.23,5260
47.68,-113.96,6780
45.27,-117.69,5760
47.76,-123.03,3960
47.92,-112.82,6400
45.7,-115.23,6320
45.32,-121.72,5370
39.32,-119.89,8801
45.27,-117.17,7910
42.6,-116.56,5730
45.25,-121.74,4070
45.41,-112.96,8300
46.87,-113.28,6250
39.3,-106.61,8700
43.51,-121.98,4910
43.11,-109.95,8340
45.73,-114.48,5650
40.04,-105.54,9910
48.16,-113.95,6040
36.99,-105.26,10600
45.55,-122,3060
47.27,-113.76,6330
41.33,-106.38,10130
39.08,-107.14,9200
45.01,-110.01,7350
44.43,-120.33,5430
47.37,-121.44,4030
41.15,-106.97,10000
39.09,-107.63,9840
43.66,-109.01,8975
42.26,-112.13,6740
46.78,-121.75,5130
38.82,-106.59,9600
48.44,-120.92,4600
39.05,-107.87,9960
44.73,-109.91,9400
40.76,-111.63,7585
